sql_keyword,special_char,comment_char,wildcard_char,escape_char,label
1,23,1,5,0,1
0,1,0,1,0,1
0,26,1,0,0,1
0,3,0,0,0,1
1,10,0,0,0,1
2,22,0,0,0,1
1,5,0,0,0,1
1,22,0,0,0,1
0,5,0,0,0,1
0,1,0,0,0,1
0,9,0,0,0,1
2,17,0,0,0,1
1,7,1,0,0,1
0,0,0,0,0,1
0,3,0,0,0,1
0,3,0,0,0,1
1,21,1,4,0,1
1,6,1,0,0,1
3,18,0,0,0,1
1,5,0,0,0,1
0,20,0,0,0,1
1,8,2,0,0,1
0,0,0,0,0,1
1,16,1,4,0,1
0,2,0,2,0,1
1,22,1,0,0,1
0,2,0,0,0,1
0,8,0,8,0,1
0,1,0,0,0,1
1,8,1,0,0,1
1,24,0,4,0,1
2,11,0,0,0,1
2,15,1,0,0,1
0,1,0,0,0,1
4,17,0,0,0,1
2,14,0,0,0,1
0,2,0,1,0,1
1,8,1,0,0,1
0,1,0,0,0,1
1,11,1,0,0,1
1,11,1,0,0,1
0,3,1,0,0,1
0,2,0,2,0,1
1,9,1,0,0,1
1,24,1,5,0,1
0,1,0,0,0,1
1,4,1,0,0,1
0,1,0,0,0,1
0,1,0,0,0,1
1,7,0,0,0,1
3,26,0,0,0,1
3,26,0,0,0,1
2,19,0,0,0,1
3,26,0,0,0,1
1,6,0,0,0,1
1,8,1,0,0,1
0,9,0,3,0,1
1,16,1,1,0,1
1,9,0,0,0,1
1,9,0,0,0,1
1,15,0,0,0,1
1,9,1,0,0,1
1,8,1,0,0,1
1,8,1,0,0,1
1,8,1,0,0,1
1,12,1,0,0,1
1,7,1,0,0,1
1,6,1,0,0,1
2,14,0,0,0,1
2,12,0,0,0,1
1,8,1,0,0,1
1,5,0,0,0,1
1,15,0,0,0,1
1,12,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,1
2,7,0,1,0,1
2,7,0,1,0,1
2,7,0,1,0,1
2,7,0,1,0,1
2,7,0,1,0,1
1,7,0,1,0,1
1,5,0,1,0,1
1,13,1,1,0,1
1,3,1,1,0,1
0,3,0,0,0,1
0,4,0,0,0,1
1,9,0,0,0,1
1,7,0,0,0,1
0,5,0,1,0,1
0,3,0,0,0,1
0,14,0,1,0,1
1,6,0,0,0,1
0,1,0,0,0,1
0,1,0,1,0,1
0,1,0,1,0,1
0,1,0,1,0,1
0,1,0,1,0,1
1,9,0,0,0,1
1,6,0,0,0,1
1,8,1,0,0,1
0,0,0,0,0,1
0,8,0,0,0,0
1,20,0,0,0,0
0,14,0,0,0,0
2,23,0,0,0,0
1,9,0,0,0,0
0,10,0,0,0,0
0,7,0,0,0,0
0,13,0,0,0,0
0,23,0,0,0,0
0,23,0,0,0,0
0,16,0,0,0,0
0,7,0,0,0,0
1,14,0,0,0,0
1,7,0,0,0,0
1,13,0,0,0,0
2,20,0,0,0,0
4,37,0,0,0,0
0,12,0,0,0,0
0,18,0,0,0,0
1,6,0,0,0,0
0,11,0,0,0,0
0,10,0,0,0,0
2,16,0,0,0,0
1,17,0,0,0,0
0,3,0,0,0,0
0,12,0,0,0,0
